Year,Win.Score,Lose.Score,Total.Score
1875,16,1,17
1875,6,15,21
1875,6,0,6
1875,7,10,17
1875,4,2,6
1875,5,5,10
1875,8,6,14
1875,3,2,5
1875,9,5,14
1875,9,13,22
1875,4,2,6
1875,3,2,5
1875,5,1,6
1875,14,0,14
1875,18,0,18
1875,19,10,29
1875,7,4,11
1875,8,7,15
1875,6,4,10
1875,8,1,9
1875,4,2,6
1875,7,20,27
1875,17,13,30
1875,3,15,18
1875,2,18,20
1875,8,7,15
1875,8,12,20
1875,10,10,20
1875,7,10,17
1875,6,2,8
1875,5,0,5
1875,3,11,14
1875,7,3,10
1875,1,1,2
1875,4,10,14
1875,3,13,16
1875,9,11,20
1875,7,18,25
1875,3,14,17
1875,4,11,15
1875,4,3,7
1875,8,3,11
1875,6,2,8
1875,9,6,15
1875,5,3,8
1875,2,17,19
1875,9,2,11
1875,6,17,23
1875,7,10,17
1875,9,3,12
1875,9,8,17
1875,5,5,10
1875,7,4,11
1876,6,5,11
1876,3,20,23
1876,2,1,3
1876,4,0,4
1876,7,6,13
1876,5,2,7
1876,10,0,10
1876,8,3,11
1876,3,2,5
1876,5,11,16
1876,6,2,8
1876,3,15,18
1876,9,15,24
1876,3,2,5
1876,11,0,11
1876,5,11,16
1876,3,2,5
1876,7,5,12
1876,4,3,7
1876,1,0,1
1876,3,12,15
1876,8,13,21
1876,6,3,9
1876,5,1,6
1876,7,4,11
1876,3,2,5
1876,5,0,5
1876,6,0,6
1876,9,5,14
1876,6,5,11
1876,3,0,3
1876,19,11,30
1876,4,2,6
1876,3,28,31
1876,11,0,11
1876,6,15,21
1876,4,3,7
1876,8,2,10
1876,11,1,12
1876,8,3,11
1876,9,3,12
1876,4,1,5
1876,2,12,14
1876,6,3,9
1876,3,1,4
1876,7,4,11
1876,8,0,8
1876,6,4,10
1876,3,12,15
1876,3,1,4
1876,4,0,4
1876,4,1,5
1876,2,0,2
1876,2,2,4
1876,8,16,24
1876,8,5,13
1876,8,1,9
1876,6,2,8
1876,9,0,9
1876,5,1,6
1876,6,0,6
1876,7,2,9
1876,7,3,10
1876,9,3,12
1876,8,2,10
1876,5,1,6
1876,17,0,17
1876,8,4,12
1876,7,2,9
1876,8,1,9
1876,16,11,27
1876,3,0,3
1876,8,4,12
1876,2,0,2
1876,7,0,7
1876,3,1,4
1876,6,3,9
1876,5,21,26
1876,8,7,15
1876,4,3,7
1876,6,0,6
1876,1,0,1
1876,4,14,18
1876,4,0,4
1876,5,1,6
1876,6,20,26
1876,5,20,25
1876,5,10,15
1876,6,1,7
1876,6,5,11
1876,6,11,17
1876,8,12,20
1876,1,0,1
1876,3,10,13
1876,23,15,38
1876,4,2,6
1876,7,14,21
1876,4,2,6
1876,5,5,10
1876,6,4,10
1876,8,5,13
1876,3,0,3
1876,5,0,5
1876,2,16,18
1876,8,7,15
1876,7,2,9
1876,8,3,11
1876,3,0,3
1876,14,13,27
1876,5,2,7
1876,5,3,8
1876,7,1,8
1876,3,19,22
1876,6,13,19
1876,8,6,14
1876,8,0,8
1876,18,10,28
1876,2,10,12
1876,3,0,3
1876,6,3,9
1876,4,1,5
1876,4,3,7
1876,6,2,8
1876,5,2,7
1876,7,1,8
1876,5,4,9
1876,9,3,12
1876,7,5,12
1876,5,5,10
1876,9,5,14
1876,8,5,13
1876,7,18,25
1876,8,2,10
1876,6,2,8
1876,2,0,2
1876,3,11,14
1876,6,13,19
1876,5,11,16
1876,3,0,3
1876,15,0,15
1876,8,6,14
1876,8,5,13
1876,2,0,2
1876,9,5,14
1876,5,1,6
1876,7,10,17
1876,18,0,18
1876,7,1,8
1876,9,1,10
1876,6,4,10
1876,7,30,37
1876,7,3,10
1876,5,1,6
1876,11,1,12
1876,3,23,26
1876,7,4,11
1876,6,18,24
1876,3,17,20
1876,4,2,6
1876,8,17,25
1876,9,2,11
1876,7,0,7
1876,3,19,22
1876,8,4,12
1876,7,15,22
1876,5,15,20
1876,8,3,11
1876,10,0,10
1876,6,13,19
1876,4,1,5
1876,4,2,6
1876,6,5,11
1876,2,1,3
1876,9,2,11
1876,3,13,16
1876,3,1,4
1876,3,0,3
1876,9,1,10
1876,6,0,6
1876,4,2,6
1876,9,7,16
1876,4,14,18
1876,5,0,5
1876,3,2,5
1876,15,11,26
1876,5,4,9
1876,5,17,22
1876,6,3,9
1876,5,13,18
1876,3,0,3
1876,5,4,9
1876,4,1,5
1876,4,13,17
1876,6,3,9
1876,9,17,26
1876,4,10,14
1876,7,6,13
1876,2,12,14
1876,8,0,8
1876,6,5,11
1876,7,6,13
1876,6,11,17
1876,8,6,14
1876,3,1,4
1876,4,15,19
1876,3,23,26
1876,3,2,5
1876,9,10,19
1876,4,17,21
1876,6,1,7
1876,9,0,9
1876,5,11,16
1876,7,3,10
1876,6,3,9
1876,4,3,7
1876,3,15,18
1876,6,3,9
1876,16,0,16
1876,5,20,25
1876,4,14,18
1876,8,4,12
1876,4,13,17
1876,2,15,17
1876,8,0,8
1876,5,2,7
1876,8,7,15
1876,7,4,11
1876,3,12,15
1876,9,5,14
1876,6,2,8
1876,9,4,13
1876,15,13,28
1876,9,3,12
1876,6,2,8
1876,2,1,3
1876,3,0,3
1876,7,2,9
1876,6,4,10
1876,9,6,15
1876,7,6,13
1876,12,10,22
1876,9,10,19
1876,7,6,13
1876,16,10,26
1876,5,3,8
1876,7,10,17
1876,3,0,3
1876,5,2,7
1876,6,5,11
1876,4,1,5
1876,5,3,8
1876,6,0,6
1876,3,2,5
1876,2,11,13
1876,7,4,11
1876,6,11,17
1876,11,0,11
1876,3,0,3
1876,5,0,5
1876,11,1,12
